index,keydevid,situation,Blue,White,Pink,Unsure,gpt_class,match
0,242548,"Allegheny Technologies has announced that it plans to further reduce its by 90 employees in the High Performance Metals and Industrial Products segments, mostly in Europe.",1.0,0.0,0.0,0.0,white,False
2,98970926,International Business Machines Corp. has issued layoff notices to more than 400 workers. Employees may be eventually be eligible for help under the Trade Act of 1974.,0.0,0.0,0.0,1.0,white,False
3,62476,Kellogg Company announced its plans to lay off 620 employees after it purchased the Keebler Foods Company. The majority of the lay offs will be Keebler employees.,0.0,0.0,0.0,1.0,pink,False
4,6202947,News Corp. has flagged job cuts after reporting a $5.9 billion first half net loss amid a grim economic climate.,0.0,0.0,0.0,1.0,white,False
16,531316273,"ADP has filed a notice that it will close its operation in Williamsville. The company filed a WARN notice on July 14, 2017 with the state Department of Labor, saying the office on Spindrift Drive will close on October 13, 2017. Layoffs involving 25 workers would begin on September 29.",0.0,1.0,0.0,0.0,pink,False
19,450701,Albertsons Inc. announced that it is trimming the number of divisions to seven from 11 to reduce costs as the company tries to compete with discounters such as Wal-Mart Stores Inc. and wholesale clubs.,0.0,0.0,1.0,0.0,white,False
21,62461,Microstrategy Inc. announced that it will lay off 600 employees as part of a restruturing plan to become profitable.,0.0,0.0,0.0,1.0,white,False
28,264723148,"Abercrombie & Fitch announced for the year 2014, the company plans to open 4 additional stores in China, including a mall-based A&F store in Chengdu and preparing for an accelerated rollout for both brands in 2015. For 2014, the company plans to open 2 additional Hollister stores in Japan, 1 at LaLaport Tokyo Bay and the other in Kobe, and it sees significant growth opportunity, given iearly success. During 2014, the company expects to open 15 full-priced international stores, including a small number of A&F mall-based stores. The company also now plan to open 8 to 10 international and U.S. outlet stores during the year. The company expects to close between 60 and 70 stores in the U.S. during the fiscal year through natural lease expirations.",0.0,0.0,1.0,0.0,white,False
30,65097,MKS Instruments Inc. has laid off about 120 employees as part of a previously announced strategy to reduce costs.,0.0,0.0,0.0,1.0,white,False
33,269550,"Williams Cos. stock soared after the company disclosed more of its continuing plan to cut its staggering debt, which will mean fewer jobs at energy giant. At the beginning of 2002, the company employed about 12,000 people. The work force, currently at about 9,300, is expected to be slashed to less than 6,000 by year's end as the company continues to sell pieces of its business.",0.0,0.0,0.0,1.0,white,False
36,223998700,"OfficeMax Incorporated reported un-audited consolidated earnings results for the third quarter and nine months ended September 29, 2012. For the quarter, the company reported total sales of $1,744.6 million, a decrease of 1.7% from $1,774.8 million reported in the third quarter of 2011. The company reported operating income of $33. 5 million, compared to $41.3 million and net income available to the company common shareholders of $432.98 million, or $4.92 per diluted share, compared to $21.5 million, or $0.25 per diluted share, in the third quarter of 2011. The company reported pre-tax income of $698.6 million compared to $34.6 million for the last year. The company reported adjusted operating income of $44.9 million, or 2.6% of sales, an increase from $41.3 million, or 2.3% of sales, in the third quarter of 2011, pre-tax income of $39.2 million compared to $34.6 million and adjusted net income available to the company common shareholders of $23.6 million, or $0.27 per diluted share, an increase from $21.5 million, or $0.25 per diluted share, in the third quarter of 2011. For the nine months, the company reported total sales of $5,219.9 million compared to $5,285.4 million in 2011. The company reported operating income of $74.4 million, compared to $73.9 million and net income available to the company common shareholders of $448.6 million, or $5.12 per diluted share, compared to $29.9 million, or $0.34 per diluted share in 2011. The company reported pre-tax income of $725.7 million compared to $52.4 million for the last year. The company reported adjusted operating income of $111.1 million compared to $87.8 million, pre-tax income of $91.7 million compared to $66.3 million and adjusted net income available to the company common shareholders of $29.9 million, or $0.62 per diluted share, an increase from $38.9 million, or $0.45 per diluted share, in the third quarter of 2011. The company reported cash provided by operations of $157.8 million compared to $78.7 million and expenditures for property and equipment o",0.0,0.0,0.0,1.0,white,False
40,3342152,Avaya announced that it plans to cut some 60 jobs from a total 145 in Austria due to the rationalisation of distribution.,0.0,0.0,0.0,1.0,white,False
41,5999620,"EW Scripps Co. announced that it would cut 400 jobs as the weak advertising market inflicted another blow on the struggling US newspaper industry. The company announced that 'approximately 400' job cuts would yield annual savings of $15 million and its newspaper division would employ less than 4,000 people at the end of 2008. Including the latest job cuts, the company has reduced its newspaper workforce by more than 1,000 employees since 2006.The company announced that it was suspending its quarterly dividend.",0.0,0.0,0.0,1.0,white,False
